County/City,R_SHARE,Year
Poquoson City,0.7722222222222223,2004
Portsmouth City,0.38478271867253505,2004
Powhatan County,0.7362492806051139,2004
Prince Edward County,0.4881082558775287,2004
Prince George County,0.6134751773049646,2004
Prince William County,0.5283538917032022,2004
Pulaski County,0.6153252403340117,2004
Radford City,0.5292053663570692,2004
Rappahannock County,0.5362962962962963,2004
Richmond City,0.29111335351496803,2004
Richmond County,0.6194584944956858,2004
Roanoke City,0.4628055555555556,2004
Roanoke County,0.6513529048602389,2004
Rockbridge County,0.5894782703409215,2004
Rockingham County,0.7440101314348302,2004
Russell County,0.531996848463626,2004
Salem City,0.6195576454197144,2004
Scott County,0.6500451489916725,2004
Shenandoah County,0.6893736148372799,2004
Smyth County,0.6417728711746084,2004
Southampton County,0.5363053924185798,2004
Spotsylvania County,0.6277258224227088,2004
Stafford County,0.6197538381246467,2004
Staunton City,0.6028663412607748,2004
Suffolk City,0.5207679642113766,2004
Surry County,0.43810335036910847,2004
Sussex County,0.43498273878020716,2004
TOTALS,0.5368236353113949,2004
Tazewell County,0.5743135011441648,2004
Virginia Beach City,0.590550239915304,2004
Warren County,0.6113164628945124,2004
Washington County,0.6551034911610554,2004
Waynesboro City,0.6394574908953912,2004
Westmoreland County,0.5013142523364486,2004
Williamsburg City,0.4777777777777778,2004
Winchester City,0.5654500695708017,2004
Wise County,0.5820290665176076,2004
Wythe County,0.6846979401073221,2004
York County,0.6491298527443106,2004
Accomack County,0.5326624737945492,2000
Albemarle County,0.4964175215762905,2000
Alexandria City,0.3449881338430044,2000
Alleghany County,0.5481163380831544,2000
Amelia County,0.6154970760233918,2000
Amherst County,0.5686475409836066,2000
Appomattox County,0.6165007592373882,2000
Arlington County,0.34173458274991325,2000
Augusta County,0.7021487080052233,2000
Bath County,0.5932126696832579,2000
Bedford City,0.5198689061859894,2000
Bedford County,0.6586867566637348,2000
Bland County,0.6543898809523809,2000
Botetourt County,0.6406791907514451,2000
Bristol City,0.5566172957477306,2000
Brunswick County,0.42704685676171417,2000
Buchanan County,0.39234983766233766,2000
Buckingham County,0.502016868353502,2000
Buena Vista City,0.4962025316455696,2000
Campbell County,0.6475131598366705,2000
Caroline County,0.46377679319841936,2000
Carroll County,0.6492137078447414,2000
Charles City County,0.3336594911937378,2000
Charlotte County,0.5716860232278734,2000
Charlottesville City,0.30505142165759225,2000
Chesapeake City,0.5320640879533418,2000
Chesterfield County,0.6302241530044794,2000
Clarke County,0.5456093868281605,2000
Clifton Forge City,0.40013054830287204,2000
Colonial Heights City,0.7092007196093549,2000
Covington City,0.4363143631436314,2000
Craig County,0.6337745687926193,2000
Culpeper County,0.6076445606011107,2000
Cumberland County,0.562874251497006,2000
Danville City,0.5149396405746436,2000
Dickenson County,0.4320509272073069,2000
Dinwiddie County,0.5427977232924693,2000
Emporia City,0.45096153846153847,2000
Essex County,0.5207517619420516,2000
Fairfax City,0.4983256592716618,2000
Fairfax County,0.48862546069723883,2000
Falls Church City,0.381011979259789,2000
Fauquier County,0.6156466930709936,2000
Floyd County,0.5964453737584945,2000
Fluvanna County,0.5699517574086836,2000
Franklin City,0.43654026950799124,2000
Franklin County,0.5961548674916353,2000
Frederick County,0.6508574490889604,2000
Fredericksburg City,0.4393054931896423,2000
Galax City,0.5241753276095797,2000
Giles County,0.5240469208211144,2000
Gloucester County,0.6363968172859332,2000
Goochland County,0.6127378375299077,2000
Grayson County,0.6182136602451839,2000
Greene County,0.6236141906873615,2000
Greensville County,0.40066564260112647,2000
Halifax County,0.5494599204093235,2000
Hampton City,0.4084824691461148,2000
Hanover County,0.6880846459059757,2000
Harrisonburg City,0.5765213898373167,2000
Henrico County,0.5504236249693659,2000
